sound	saund	a.健康的；完好的
stock	stɔk	n.原料；库存品；股本
robot	rəubɔt	n.机器人；自动机
indeed	in'di:d	ad.真正地；确实
FALSE	fɔ:ls	a.不真实的；伪造的
crush	krΛʃ	vt.压碎，碾碎；镇压
imply	im'plai	vt.暗示，意指
width	widθ	n.宽阔，广阔；宽度
editor	editə	n.编辑，编者，校订者
north	nɔ:θ	n.北，北方a.北方的
humour	hju:mə	n.幽默，诙谐，幽默感
canal	kə'næl	n.运河；沟渠；管
other	Λðə	a.另外的；其余的
affect	ə'fekt	vt.影响；感动
depart	di'pɑ:t	vi.离开起程出发死亡脱轨vt.离开
blade	bleid	n.刀刃，刀片；叶片
unity	ju:niti	n.单一；统一；团结
draft	dræft	n.草稿草图汇票徵兵vt.起草征兵选秀adj.酝酿中的
mouse	maus	n.鼠，耗子
devil	'devl	n.魔鬼恶魔坏人难对付的东西困难小尘暴vt.加料惹恼
seal	si:l	n.封蜡；印记vt.封
steer	stiə	vt.&vi.驾驶
clean	kli:n	a.清洁的；纯洁的
color	kΛlə	n.颜色，彩色；颜料
house	haus	n.房屋，住宅；商号
pupil	pju:pl	n.学生，小学生
marry	mæri	vt.娶，嫁vi.结婚
exist	ig'zist	vi.存在；生存，生活
differ	'difə	vi.不同(意见)相异不一致
laser	leizə	n.激光
evolve	i'vɔlv	vt.使进化；使发展
towel	tauəl	n.毛巾，手巾
vital	vaitl	a.生命的；有生命力的
usage	ju:zidʒ	n.使用，对待；惯用法
talk	tɔ:k	vi.讲话vt.谈论
knife	naif	n.小刀，刀，餐刀
zeal	zi:l	n.热心热情热忱
happen	hæpən	vi.发生；碰巧，恰好
German	dʒə:mən	a.德国的n.德国人
design	di'zain	vt.设计想像计划vi.计划设计n.设计图样
stoop	stu:p	vi.俯身；弯身n.弯腰
equal	i:kwəl	a.相等的；平等的
cable	keibl	n.缆，索；电缆；电报
below	bi'ləu	prep.在…下面(以下)
score	skɔ:	n.得分，比数，成绩
final	fainl	a.最后的；决定性的
fifty	fifti	num.五十，五十个
piano	pi'ænəu	n.钢琴
employ	im'plɔi	vi.雇用；用；使忙于
fancy	fænsi	n.想象力；设想；爱好
hello	hə'ləu	int.喂
burden	bə:dn	n.担子，重担；装载量
penny	peni	n.(英)便士；(美)分
driver	'draivə	n.驾驶员司机
sack	sæk	n.袋，麻袋；开除
weld	weld	vt.&n.焊接，熔接
plant	pla:nt	n.植物；工厂vt.栽种
stir	stə:	vt.动；拨动；激动
colony	kɔləni	n.殖民地；侨居地
church	tʃə:tʃ	n.教堂，礼拜堂；教会
dinner	'dinə	n.正餐主餐宴会晚宴
zebra	'zi:brə	n.斑马斑马线
fluid	flu(:)id	n.流体，液体
tube	tju:b	n.管；电子管，显像管
mount	maunt	vt.登上，爬上n.…山
bloom	blu:m	n.花；开花，开花期
ground	graund	n.地；场地；根据
mɔist	mɔist	a.湿润的；多雨的
prime	praim	a.首要的n.春，青春
reach	ri:tʃ	vt.抵达；伸出vi.达到
argue	a:gju:	vi.争论，争辩，辩论
proud	praud	a.骄傲的；自豪的
wear	weə	vt.磨损
annual	ænjuəl	a.每年的n.年报
frank	fræŋk	a.坦白的，直率的
shave	ʃeiv	vt.剃，刮vi.修面
ideal	ai'diəl	a.理想的；观念的
crane	krein	n.起重机，摄影升降机
tough	tΛf	a.坚韧的；健壮的
impose	im'pəuz	vt.把…强加；征(税)
enough	i'nΛf	a.足够的ad.足够地
belief	bi'li:f	n.信任，相信；信念
goods	gudz	n.货物，商品
pride	praid	n.骄傲；自豪vt.自夸
devise	di'vaiz	vt.设计发明遗赠n.遗赠(的财产)
handy	hændi	a.手边的；便于使用的
tower	tauə	n.塔vi.屹立，高耸
plane	plein	n.平面；飞机
ocean	əuʃən	n.海洋；洋
sour	sauə	a.酸的；脾气坏的
circle	sə:kl	n.圆，圆周；圈子
being	bi:iŋ	n.存在；生物；生命
close	kləuz,kləus	vt.关，闭；结束
deceit	di'si:t	n.欺骗欺诈诡计不诚实
stuff	stΛf	n.材料vt.装，填，塞
honest	ɔnist	a.诚实的；可敬的
craft	kra:ft	n.工艺；手艺，行业
cheek	tʃi:k	n.面颊，脸蛋
peace	pi:s	n.和平；和睦；平静
leave	li:v	vi.离去vt.离开
order	ɔ:də	n.次序；整齐vt.命令
extent	iks'tent	n.广度；范围；程度
cycle	saikl	n自行车，循环
grape	greip	n.葡萄；葡萄藤
forty	fɔ:ti	num.四十，第四十
quite	kwait	ad.完全；相当；的确
liver	livə	n.肝；肝脏
real	riəl	a.真的；现实的
tempt	tempt	vt.引诱，诱惑；吸引
corner	kɔ:nə	n.角；犄角；边远地区
scale	skeil	n.标度；比例；大小
bathe	beið	vt.给…洗澡；弄湿
hence	hens	ad.因此，所以；今后
motor	məutə	n.发动机；机动车
better	betə	a.较好的ad.更好地
tense	tens	n.时态，时a.拉紧的，绷紧的
group	gru:p	n.小组，群vi.聚集
type	taip	n.型，类型vi.打字
appeal	ə'pi:l	vi.&n.呼吁；申述
lorry	lɔri	n.运货汽车，卡车
pilot	pailət	n.领航员；飞行员
award	ə'wɔ:d	n.奖，奖品；判定
fence	fens	n.栅栏
grind	graind	vt.磨(碎)；磨快
rely	ri'lai	vi.依赖，依靠；信赖
frost	frɔst	n.冰冻，严寒；霜
rapid	ræpid	a.快的n.急流
become	bi'kΛm	vi.变成；成为，变得
serve	sə:v	vt.为…服务；招待
shore	ʃɔ:	n.滨，岸
print	print	vt.印刷n.印刷；正片
mould	məuld	n.模子，模型vt.浇铸
blank	blæŋk	a.空白的n.空白
begin	bi'gin	vi.开始vt.开始
fridge	fridʒ	n.电冰箱
camel	kæməl	n.骆驼
branch	bra:ntʃ	n.树枝；分部；分科
aboard	ə'bɔ:d	ad.在船(车)上；上船
fleet	fli:t	n.舰队；船队，机群
green	gri:n	a.绿色的n.绿色
tale	teil	n.故事，传说
breed	bri:d	n.品种vt.使繁殖
block	blɔk	n.街区vt.堵塞，拦阻
collar	kɔlə	n.衣领，项圈
value	vælju:	n.价值；价格vt.评价
phase	feiz	n.阶段；方面；相位
shed	ʃed	n.棚，小屋；贷棚vt.流出；散发；脱落
solar	səulə	a.太阳的，日光的
stair	steə	n.楼梯
night	nait	n.夜，夜间
decade	'dekeid	n.十年十年期
shear	ʃiə	vt.剪；剥夺vi.剪
rate	reit	n.比率；速度；价格
bleed	bli:d	vi.出血，流血；泌脂
volt	vəult	n.伏特，伏
lower	ləuə	a.较低的vt.放下
copper	kɔpə	n.铜；铜币，铜制器
equip	i'kwip	vt.装备，配备
alloy	ælɔi,ə'lɔi	n.合金；(金属的)成色
piece	pi:s	n.碎片，块vt.拼合
delay	di'lei	vt.推迟耽搁延误vi.耽搁n.耽搁迟滞
chain	tʃein	n.链，链条，项圈
crazy	kreizi	a.疯狂的，荒唐的
rush	rΛʃ	vi.冲，奔vt.催促
daring	'dɛəriŋ	adj.大胆的勇敢的n.冒险精神
flour	flauə	n.面粉，粉；粉状物质
trap	træp	n.陷阱；诡计vt.诱骗
layer	leiə	n.层，层次；铺设者
hazard	hæzəd	n.危险；公害
sign	sain	n.符号；招牌n.签名
slope	sləup	n.倾斜；斜面vi.倾斜
costly	kɔstli	a.昂贵的；价值高的
fresh	freʃ	a.新的；新鲜的
admit	əd'mit	vt.承认；准许…进入
alarm	ə'la:m	n.惊恐，忧虑；警报
damage	'dæmidʒ	vt.损害毁坏n.(pl.)赔偿损坏毁坏损害
excite	ik'sait	vt.使激动；引起
gather	gæðə	vi.聚集；集合vt.收集
choke	tʃəuk	vt.使窒息；塞满
county	kaunti	n.英国的郡，美国的县
genius	dʒi:njəs	n.天才，天赋，天资
sting	stiŋ	vt.刺；刺痛vi.&n.刺
beyond	bi'jɔnd	prep.在…的那边
shade	ʃeid	n.荫；遮光物vi.荫蔽
rouse	rauz	vt.唤醒，唤起；惊起
raise	reiz	vt.举起；引起；提高
breeze	bri:z	n.微风，和风
great	greit	a.大的；伟大的
bureau	bjuərəu	n.局，司，处；社，所
pull	pul	vt.拉，拖；拉，拉力
faint	feint	a.微弱的；虚弱的
afford	ə'fɔr:d	vt.担负得起…；提供
sole	səul	a.单独的，唯一的n.脚底，鞋底，袜底
dollar	'dɔlə	n.美元(货币单位)
decay	di'kei	vi.腐烂衰败n.腐烂衰退
career	kə'riə	n.生涯，职业，经历
sway	swei	vi.摇动vt.摇；摇动
trade	treid	n.贸易；职业vi.交易
highly	haili	ad.高度地，很，非常
yard	ja:d	n.院子，庭院；场地
hunger	hΛŋgə	n.饿，饥饿；渴望
guest	gest	n.客人，宾客；旅客
sweep	swi:p	vt.扫；刮起；扫过
gentle	dʒentl	a.和蔼的；轻柔的
phone	fəun	n.电话，电话机；耳机
income	inkΛm	n.收入；收益；进款
flesh	fleʃ	n.肉，肌肉；肉体
guilty	gilti	a.内疚的；有罪的
fever	fi:və	n.发热，发烧；狂热
water	wɔ:tə	n.水vt.使湿，灌溉
degree	di'gri:	n.程度度度数学位
later	leitə	ad.后来；过一会儿
vain	vein	a.徒劳的；自负的
bottom	bɔtəm	n.底，底部，根基
label	leibl	n.标签；标记，符号
badly	bædli	ad.坏，差；严重地
centre	sentə	n.中心；中枢vt.集中
fifth	fifθ	num.第五n.五分之一
large	la:dʒ	a.大的；巨大的
offer	ɔfə	vt.提供；提出n.提供
soil	sɔil	vt.弄脏vi.变脏
cross	krɔs	vt.穿过；使交叉
harsh	ha:ʃ	a.严厉的；刺耳的
shelf	ʃelf	n.搁板，架子
debate	di'beit	n.&vi.争论辩论商讨vt.争论思考
renew	ri'nju:	vt.使更新vi.更新
paint	peint	vt.画；油漆vi.绘画
pump	pΛmp	n.泵vt.用抽机抽
moral	mɔrəl	a.道德的；合乎道德的
expect	iks'pekt	vt.预料，预期；等待
steam	sti:m	n.蒸汽vi.蒸发vt.蒸
solid	sɔlid	a.固体的n.固体
devote	di'vəut	vt.将...奉献致力于投入于献身
cubic	kju:bik	a.立方形的；立方的
defect	di'fekt	n.缺点缺陷欠缺vi.背叛
waken	weikən	vi.醒来vt.弄醒
upper	Λpə	a.上面的；地位较高的
drown	draun	vi.淹死溺死vt.淹死沉浸于
widen	waidn	vt.加宽vi.变宽
total	təutl	a.总的vi.合计，总共
bottle	bɔtl	n.瓶，酒瓶；一瓶
flight	flait	n.航班；飞行；逃跑
clever	klevə	a.聪明的；机敏的
roll	rəul	vi.&vt.滚动；转动
dairy	'dɛəri	n.牛奶场乳制品乳品店adj.牛奶的
quiet	kwaiət	a.寂静的；安静的
black	blæk	a.黑色的；黑暗的
swing	swiŋ	vi.摇摆；回转n.摇摆
spark	spa:k	n.火花，火星
